Year,Engine HP,Engine Cylinders,Number of Doors,highway MPG,city mpg,Popularity,MSRP
2011,335.0,6,2,26,19,3916,46135
2011,300.0,6,2,28,19,3916,40650
2011,300.0,6,2,28,20,3916,36350
2011,230.0,6,2,28,18,3916,29450
2011,230.0,6,2,28,18,3916,34500
2012,230.0,6,2,28,18,3916,31200
2012,300.0,6,2,26,17,3916,44100
2012,300.0,6,2,28,20,3916,39300
2012,230.0,6,2,28,18,3916,36900
2013,230.0,6,2,27,18,3916,37200
2013,300.0,6,2,28,20,3916,39600
2013,230.0,6,2,28,19,3916,31500
2013,300.0,6,2,28,19,3916,44400
2013,230.0,6,2,28,19,3916,37200
2013,230.0,6,2,28,19,3916,31500
2013,320.0,6,2,25,18,3916,48250
2013,320.0,6,2,28,20,3916,43550
1992,172.0,6,4,24,17,3105,2000
1992,172.0,6,4,24,17,3105,2000
1992,172.0,6,4,20,16,3105,2000
1992,172.0,6,4,24,17,3105,2000
1992,172.0,6,4,21,16,3105,2000
1993,172.0,6,4,24,17,3105,2000
1993,172.0,6,4,20,16,3105,2000
1993,172.0,6,4,24,17,3105,2000
1993,172.0,6,4,24,17,3105,2000
1993,172.0,6,4,21,16,3105,2000
1994,172.0,6,4,21,16,3105,2000
1994,172.0,6,4,22,16,3105,2000
1994,172.0,6,4,22,17,3105,2000
1994,172.0,6,4,22,16,3105,2000
1994,172.0,6,4,21,16,3105,2000
2017,160.0,4,2,35,26,819,27495
2017,160.0,4,2,35,26,819,24995
2017,160.0,4,2,35,26,819,28195
1991,130.0,4,4,26,18,617,2000
1991,158.0,6,4,25,17,617,2000
1992,158.0,6,4,25,17,617,2000
1992,130.0,4,4,26,18,617,2000
1993,130.0,4,4,26,18,617,2000
1993,158.0,6,4,25,17,617,2000
2016,240.0,4,2,35,23,3916,32850
2016,240.0,4,2,34,23,3916,38650
2016,320.0,6,2,31,20,3916,48750
2016,240.0,4,2,35,23,3916,34850
2016,240.0,4,2,34,22,3916,40650
2016,320.0,6,2,31,20,3916,44150
2016,240.0,4,2,34,22,3916,32850
2016,320.0,6,2,30,20,3916,46150
2016,320.0,6,2,30,20,3916,50750
2017,335.0,6,2,31,21,3916,46450
2017,335.0,6,2,32,21,3916,49050
2017,335.0,6,2,32,21,3916,51050
2017,335.0,6,2,32,21,3916,44450
2017,248.0,4,2,34,23,3916,38950
2017,248.0,4,2,35,24,3916,33150
2017,248.0,4,2,33,24,3916,35150
2017,248.0,4,2,33,23,3916,40950
1990,162.0,5,4,20,16,3105,2000
1990,162.0,5,4,22,15,3105,2000
1990,162.0,5,4,23,15,3105,2000
1991,217.0,5,4,22,16,3105,2000
1991,217.0,5,4,22,16,3105,2000
1991,162.0,5,4,20,16,3105,2000
2015,184.0,4,4,36,23,1013,25170
2015,184.0,4,4,36,23,1013,23950
2015,295.0,6,4,29,18,1013,29370
2015,184.0,4,4,36,23,1013,21995
2015,184.0,4,4,36,23,1013,26625
2015,295.0,6,4,29,18,1013,30825
2016,184.0,4,4,36,23,1013,21995
2016,184.0,4,4,36,23,1013,27795
2016,295.0,6,4,29,18,1013,31785
2016,295.0,6,4,29,18,1013,29905
2016,184.0,4,4,36,23,1013,22490
2016,184.0,4,4,36,23,1013,27570
2016,184.0,4,4,36,23,1013,25690
2016,184.0,4,4,36,23,1013,24490
2017,295.0,6,4,28,18,1013,29905
2017,295.0,6,4,28,18,1013,31785
2017,184.0,4,4,36,23,1013,26685
2017,184.0,4,4,36,23,1013,22490
2017,184.0,4,4,36,23,1013,25690
2017,295.0,6,4,28,18,1013,30900
2017,184.0,4,4,36,23,1013,27795
2017,184.0,4,4,36,23,1013,21995
2017,184.0,4,4,36,23,1013,24490
1996,140.0,4,2,29,21,2009,2000
1997,140.0,4,2,29,21,2009,2000
1998,140.0,4,2,28,20,2009,2073
1996,155.0,4,2,26,19,2009,3713
1996,155.0,4,2,26,19,2009,3520
1997,155.0,4,2,26,19,2009,3910
1997,155.0,4,2,26,19,2009,4182
1997,155.0,4,2,26,19,2009,4107
1998,155.0,4,2,25,20,2009,4299
1998,155.0,4,2,25,20,2009,4693
1998,155.0,4,2,25,20,2009,4107
1991,114.0,4,4,26,19,870,2000
1991,114.0,4,4,23,18,870,2000
1991,114.0,4,4,26,19,870,2000
1992,114.0,4,4,26,19,870,2000
1992,114.0,4,4,26,19,870,2000
1992,114.0,4,4,26,19,870,2000
1993,114.0,4,4,26,19,870,2000
1993,114.0,4,4,25,18,870,2000
2012,100.0,4,4,35,29,586,16020
2012,100.0,4,4,35,29,586,14530
2012,100.0,4,4,34,28,586,16860
2012,100.0,4,4,34,28,586,15370
2013,100.0,4,4,34,28,586,17050
2013,100.0,4,4,34,28,586,15560
2013,100.0,4,4,35,29,586,16210
2013,100.0,4,4,35,29,586,14720
2014,100.0,4,4,34,28,586,17050
2014,100.0,4,4,34,28,586,15560
2014,100.0,4,4,35,29,586,16210
2014,100.0,4,4,35,29,586,14720
2015,300.0,6,4,30,20,3916,47250
2015,240.0,4,4,33,22,3916,41850
2015,240.0,4,4,33,22,3916,41850
2016,240.0,4,4,34,22,3916,43000
2016,300.0,6,4,30,20,3916,49200
2017,320.0,6,4,30,20,3916,49650
2017,248.0,4,4,33,23,3916,43950
2015,241.0,4,4,33,22,3916,41950
2015,335.0,6,4,33,25,3916,50150
2015,240.0,4,4,35,23,3916,37500
2015,300.0,6,4,32,21,3916,43750
2015,180.0,4,4,45,32,3916,39000
2015,240.0,4,4,33,22,3916,39500
2015,240.0,4,4,33,22,3916,39500
2015,180.0,4,4,35,23,3916,34950
2015,300.0,6,4,30,20,3916,45750
2015,180.0,4,4,43,31,3916,43450
2015,240.0,4,4,35,23,3916,37500
2015,180.0,4,4,43,31,3916,41000
2015,180.0,4,4,36,24,3916,32950
2016,180.0,4,4,40,30,3916,41850
2016,320.0,6,4,33,22,3916,47800
2016,180.0,4,4,42,32,3916,39850
2016,240.0,4,4,34,22,3916,38350
2016,240.0,4,4,34,22,3916,40350
2016,240.0,4,4,34,22,3916,38350
2016,240.0,4,4,34,22,3916,42650
2016,180.0,4,4,36,24,3916,33150
2016,180.0,4,4,35,23,3916,35150
2016,180.0,4,4,40,30,3916,44150
2016,320.0,6,4,33,22,3916,45800
2017,248.0,4,4,34,23,3916,38750
2017,180.0,4,4,34,23,3916,35450
2017,180.0,4,4,35,23,3916,33450
2017,248.0,4,4,33,23,3916,40750
2017,180.0,4,4,40,30,3916,42250
2017,248.0,4,4,33,23,3916,42950
2017,180.0,4,4,42,32,3916,40250
2017,320.0,6,4,31,21,3916,49900
2017,320.0,6,4,32,21,3916,47900
2017,180.0,4,4,40,30,3916,44450
1991,177.0,6,4,19,15,617,2232
1991,177.0,6,4,20,15,617,2000
1991,158.0,6,4,22,17,617,2000
1991,177.0,6,4,20,15,617,2105
1991,177.0,6,4,18,15,617,2199
1991,177.0,6,4,22,16,617,2000
1991,177.0,6,4,19,15,617,2124
1991,228.0,6,2,21,14,617,3552
1991,217.0,6,2,22,15,617,2179
1991,121.0,5,4,30,23,617,2000
1992,121.0,5,4,29,23,617,2000
1992,228.0,6,4,17,14,617,2377
1992,228.0,6,2,21,15,617,3814
1992,177.0,6,4,19,15,617,2207
1992,177.0,6,4,20,15,617,2000
1992,217.0,6,2,21,15,617,2248
1992,177.0,6,4,22,16,617,2065
1992,148.0,6,4,22,18,617,2547
1992,177.0,6,4,18,15,617,2282
1992,158.0,6,4,23,18,617,2000
1993,177.0,6,4,19,15,617,2544
1993,217.0,6,2,22,17,617,2397
1993,121.0,5,4,30,23,617,2000
1993,228.0,6,2,21,14,617,4174
1993,217.0,6,4,22,17,617,2187
1993,148.0,6,4,22,18,617,2729
1993,177.0,6,4,19,15,617,2433
1993,194.0,6,4,23,17,617,2247
1993,228.0,6,4,18,14,617,2540
1997,218.0,6,2,23,17,436,3941
1997,161.0,6,2,22,17,436,3295
1997,320.0,6,2,22,16,436,6008
1998,320.0,6,2,22,16,436,6710
1998,161.0,6,2,22,17,436,3701
